Peer-reviewed,Study,Sample,Gender,N,Age.classification,Combination,WM.type1,WM.type2,Math.type,Reported.Effect.Size,MA.TA.Description,MA.TA.Name,TA.GA.Description,TA.GA.Name,COGN.Description,COGN.Name,ACH.Description,ACH.Name
yes,"Morsanyi et al., 2014","Morsanyi et al., 2014_Adult sample",,328,Adult,MA-Maths,,,math_apply,-0.17,Math anxiety,AMAS,,,,,Mathematic,MPP
yes,"Morsanyi et al., 2014","Morsanyi et al., 2014_Adult sample",,328,Adult,MA-TA,,,,0.54,Math anxiety,AMAS,Test anxiety,TAI,,,,
yes,"Morsanyi et al., 2014","Morsanyi et al., 2014_Adult sample",,328,Adult,TA-Maths,,,math_apply,-0.5,,,Test anxiety,TAI,,,Mathematic,MPP
yes,"Morsanyi et al., 2014","Morsanyi et al., 2014_Dev_Group",,184,Dev_Group,MA-Maths,,,grade,-0.22,Math anxiety,AMAS,,,,,Mathematic,
yes,"Morsanyi et al., 2014","Morsanyi et al., 2014_Dev_Group",,184,Dev_Group,MA-TA,,,,0.49,Math anxiety,AMAS,Test anxiety,TAI,,,,
yes,"Morsanyi et al., 2014","Morsanyi et al., 2014_Dev_Group",,184,Dev_Group,TA-Maths,,,grade,-0.06,,,Test anxiety,TAI,,,Mathematic,
yes,"Georges et al., 2016","Georges et al., 2016",,61,Adult,MA-WM,verbal,STM,,-0.05,Math anxiety,a-MARS,,,Short-term memory,Backward digit span,,
yes,"Georges et al., 2016","Georges et al., 2016",,61,Adult,MA-WM,spatial,WM,,-0.29,Math anxiety,a-MARS,,,Working Memory,Grid/no-grid,,
yes,"Georges et al., 2016","Georges et al., 2016",,61,Adult,MA-Maths,,,arithmetic,-0.25,Math anxiety,a-MARS,,,,,Mathematic,zArithmetic
yes,"Georges et al., 2016","Georges et al., 2016",,61,Adult,WM-Maths,verbal,STM,arithmetic,0,,,,,Short-term memory,Backward digit span,Mathematic,zArithmetic
yes,"Georges et al., 2016","Georges et al., 2016",,61,Adult,WM-Maths,spatial,WM,arithmetic,0.34,,,,,Working Memory,Grid/no-grid,Mathematic,zArithmetic
yes,"Hoffman, 2010","Hoffman, 2010",,70,Adult,MA-WM,verbal,WM,arithmetic,-0.23,Math anxiety,MAS,,,Working memory,Operation span task,,
yes,"Hoffman, 2010","Hoffman, 2010",,70,Adult,MA-Maths,,,arithmetic,-0.38,Math anxiety,MAS,,,,,Mathematic,Self Developed
yes,"Hoffman, 2010","Hoffman, 2010",,70,Adult,MA-Maths,,,arithmetic,-0.42,Math anxiety,MAS,,,,,Mathematic,Self Developed
yes,"Hoffman, 2010","Hoffman, 2010",,70,Adult,MA-Maths,,,arithmetic,-0.3,Math anxiety,MAS,,,,,Mathematic,Self Developed
