StudyID,Study..Authors.,PublicationYear,StudyLabel,Title,Status,Country,Comparison.within.study,ComparisonID,Outcome.battery,Subscale.subtest,Type.of.test,Diagnostic.Status,CG.status,Pre.TG.Mean,Pre.TG.sd,Pre.TG.N,Pre.CG.Mean,Pre.CG.sd,Pre.CG.N,Post.TG.Mean,Post.TG.sd,Post.TG.N,Post.CG.Mean,Post.CG.sd,Post.CG.N,Cohen.d,OutcomeType,OutcomeDetail,Reliability,outcomeSign,Time,InterventionType,InterventionType.Detail.1,InterventionType.Detail.2,Setting,Design,Session.duration,N.of.sessions,N.of.weeks,M.Age..months.,Age.Range,M.Age.TG,M.Age.CG,Estimated.mean.age,Age.group,M.IQ.TG,M.IQ.CG,ClaimTitleAbstract,Statistical.inference,Post.hoc,critical.threshold,explicit.alpha,pvalue.correction,Effect.size.reported,Nxgroup,EffectSize,Vi
1,Bar-Kochva,2016,Bar-Kochva (2016),An Examination of an Intervention Program Designed to Enhance Reading and Spelling Through the Training of Morphological Decomposition in Word Recognition,Published,Hebrew,Morpheme training vs Control,1,,"Spelling, word reading, Comprehension",standardized,Assessed by the authors,Control Training,93.77,4.06,21,94.54,2.89,20,96.92,2.96,21,94.77,4.33,20,,Word,Oralwordreading%accuracy,,Positivo,pre-post,Reading fluency training,reading fluency training,MorphologicalTraining,Computer,randomized,SelfPaced,2,1,,,298.2,303.6,300.8341463,Adult,Block Design and Similarities Matched,Block Design and Similarities Matched,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,20.5,0.809200528,0.048516508
1,Bar-Kochva,2016,Bar-Kochva (2016),An Examination of an Intervention Program Designed to Enhance Reading and Spelling Through the Training of Morphological Decomposition in Word Recognition,Published,Hebrew,Morpheme training vs Control,1,,"Spelling, word reading, Comprehension",standardized,Assessed by the authors,Control Training,59.97,18.01,21,63.03,18.26,20,67.01,17.26,21,67.59,23.16,20,,Word,Oralwordreadingfluency(wordsperminute),,Positivo,pre-post,Reading fluency training,reading fluency training,MorphologicalTraining,Computer,randomized,SelfPaced,2,1,,,298.2,303.6,300.8341463,Adult,Block Design and Similarities Matched,Block Design and Similarities Matched,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,20.5,0.134125842,0.039825998
1,Bar-Kochva,2016,Bar-Kochva (2016),An Examination of an Intervention Program Designed to Enhance Reading and Spelling Through the Training of Morphological Decomposition in Word Recognition,Published,Hebrew,Morpheme training vs Control,1,,"Spelling, word reading, Comprehension",standardized,Assessed by the authors,Control Training,96.96,3.07,21,97.37,2.12,20,98.19,1.42,21,96.79,2.52,20,,Text,Oraltextreading%accuracy,,Positivo,pre-post,Reading fluency training,reading fluency training,MorphologicalTraining,Computer,randomized,SelfPaced,2,1,,,298.2,303.6,300.8341463,Adult,Block Design and Similarities Matched,Block Design and Similarities Matched,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,20.5,0.669781907,0.045702565
1,Bar-Kochva,2016,Bar-Kochva (2016),An Examination of an Intervention Program Designed to Enhance Reading and Spelling Through the Training of Morphological Decomposition in Word Recognition,Published,Hebrew,Morpheme training vs Control,1,,"Spelling, word reading, Comprehension",standardized,Assessed by the authors,Control Training,95.25,24.17,21,100.38,23.43,20,101.45,23.22,21,95.98,25.01,20,,Text,Oraltextreadingfluency(wordsperminute),,Positivo,pre-post,Reading fluency training,reading fluency training,MorphologicalTraining,Computer,randomized,SelfPaced,2,1,,,298.2,303.6,300.8341463,Adult,Block Design and Similarities Matched,Block Design and Similarities Matched,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,20.5,0.436531226,0.042181026
1,Bar-Kochva,2016,Bar-Kochva (2016),An Examination of an Intervention Program Designed to Enhance Reading and Spelling Through the Training of Morphological Decomposition in Word Recognition,Published,Hebrew,Morpheme training vs Control,1,,"Spelling, word reading, Comprehension",standardized,Assessed by the authors,Control Training,95.45,3.89,21,97.44,2.33,20,93.89,3.49,21,94.6,4.14,20,,Word,Wordreading%accuracyinLD,,Positivo,pre-post,Reading fluency training,reading fluency training,MorphologicalTraining,Computer,randomized,SelfPaced,2,1,,,298.2,303.6,300.8341463,Adult,Block Design and Similarities Matched,Block Design and Similarities Matched,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,20.5,0.389137338,0.041647004
1,Bar-Kochva,2016,Bar-Kochva (2016),An Examination of an Intervention Program Designed to Enhance Reading and Spelling Through the Training of Morphological Decomposition in Word Recognition,Published,Hebrew,Morpheme training vs Control,1,,"Spelling, word reading, Comprehension",standardized,Assessed by the authors,Control Training,982.32,377.67,21,1001.12,315.72,20,725.53,285.88,21,816.47,246.16,20,,Word,WordreadingRTinLD(ms),,Negativo,pre-post,Reading fluency training,reading fluency training,MorphologicalTraining,Computer,randomized,SelfPaced,2,1,,,298.2,303.6,300.8341463,Adult,Block Design and Similarities Matched,Block Design and Similarities Matched,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,20.5,0.202781908,0.040141659
1,Bar-Kochva,2016,Bar-Kochva (2016),An Examination of an Intervention Program Designed to Enhance Reading and Spelling Through the Training of Morphological Decomposition in Word Recognition,Published,Hebrew,Morpheme training vs Control,1,,"Spelling, word reading, Comprehension",standardized,Assessed by the authors,Control Training,77.87,12.18,21,78.53,11.65,20,75.35,13.87,21,78.53,8.38,20,,Comprehension,Comprehension%accuracy,,Positivo,pre-post,Reading fluency training,reading fluency training,MorphologicalTraining,Computer,randomized,SelfPaced,2,1,,,298.2,303.6,300.8341463,Adult,Block Design and Similarities Matched,Block Design and Similarities Matched,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,20.5,-0.207235232,0.040166577
2,Bedoin,2017,Bedoin (2017),Rebalancing the global and local visuo-attentional analyses to improve reading ... Rééquilibrer les analyses visuo-attentionnelles globales et locales pour améliorer la lecture...,Published,France,SWITCHIPIDO vs Control,2,,"words, pseudowords",standardized,Clinical assessment,speech therapy sessions,-1.679,0.772,10,-1.337,0.803,10,-0.888,1.05,10,-0.947,1.05,10,,Word,lecture de mots irregulier performance (score),,Positivo,pre-post,Neuropsychological,visuo-attentional,Global/local treatments,Computer,unclear,25,20,4,,,124.8,129.6,127.2,Child,normal IQ,normal IQ,Effective,Non-parametric comparison various,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,no,10,0.487596149,0.090148334
2,Bedoin,2017,Bedoin (2017),Rebalancing the global and local visuo-attentional analyses to improve reading ... Rééquilibrer les analyses visuo-attentionnelles globales et locales pour améliorer la lecture...,Published,France,SWITCHIPIDO vs Control,2,,"words, pseudowords",standardized,Clinical assessment,speech therapy sessions,-3.377,1.574,10,-2.548,1.142,10,-2.362,1.142,10,-2.323,1.759,10,,Word,lecture de mots irregulier performance (vitesse),,Positivo,pre-post,Neuropsychological,visuo-attentional,Global/local treatments,Computer,unclear,25,20,4,,,124.8,129.6,127.2,Child,normal IQ,normal IQ,Effective,Non-parametric comparison various,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,no,10,0.550240511,0.092224778
2,Bedoin,2017,Bedoin (2017),Rebalancing the global and local visuo-attentional analyses to improve reading ... Rééquilibrer les analyses visuo-attentionnelles globales et locales pour améliorer la lecture...,Published,France,SWITCHIPIDO vs Control,2,,"words, pseudowords",standardized,Clinical assessment,speech therapy sessions,-0.95,1.043,10,-0.883,1.227,10,-0.359,0.644,10,-0.708,1.043,10,,Word,lecture de mots regulier performance (score),,Positivo,pre-post,Neuropsychological,visuo-attentional,Global/local treatments,Computer,unclear,25,20,4,,,124.8,129.6,127.2,Child,normal IQ,normal IQ,Effective,Non-parametric comparison various,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,no,10,0.349885529,0.086464908
